L,dense_ms,dense_GB,sparse_ms,sparse_GB,speedup
4096,0.561,0.065,9.229,0.584,0.061
8192,1.775,0.097,18.155,1.13,0.098
16384,6.453,0.155,36.134,2.221,0.179
32768,25.069,0.273,71.212,4.405,0.352
65536,99.477,0.508,142.2,8.773,0.7
131072,394.407,0.977,292.328,17.513,1.349
262144,1583.079,1.917,589.81,35.004,2.684
